Date,Open,High,Low,Close,Volume,Company
17/08/15,103.330002,104.160004,97.089996,97.129997,2545900,Accenture
10/08/15,104.309998,105.370003,102.339996,103.449997,2094900,Accenture
03/08/15,103.169998,105.330002,102.389999,103.739998,2058600,Accenture
27/07/15,100.660004,103.989998,100.040001,103.110001,1900100,Accenture
20/07/15,100.699997,103.309998,100.199997,101.169998,2062300,Accenture
13/07/15,99.349998,101.620003,99.089996,100.480003,2229100,Accenture
06/07/15,96.440002,99.449997,96.309998,98.779999,2560300,Accenture
29/06/15,98.139999,99.07,96.510002,97.330002,2578400,Accenture
22/06/15,97.629997,100.470001,96.790001,99,3644300,Accenture
15/06/15,95.089996,97.699997,94.690002,97.019997,1966800,Accenture
08/06/15,95.160004,97.18,94.25,96.099998,1751500,Accenture
01/06/15,96.18,97.269997,94.839996,95.400002,1437200,Accenture
26/05/15,96.870003,97.169998,95.739998,96.040001,1706800,Accenture
18/05/15,96.610001,97.949997,95.919998,96.389999,1796900,Accenture
11/05/15,95.5,97.239998,94.449997,97.019997,2154000,Accenture
04/05/15,93.839996,96.290001,92.589996,95.889999,2204900,Accenture
27/04/15,94.029999,94.489998,92.129997,93.360001,1897900,Accenture
20/04/15,92.989998,94.269997,92.620003,93.400002,2311100,Accenture
13/04/15,94.339996,94.879997,92.160004,92.389999,2241400,Accenture
06/04/15,93.459999,96.779999,93.129997,94.690002,2711600,Accenture
30/03/15,94.150002,94.839996,92.68,94.18,2730800,Accenture
23/03/15,91.379997,94.980003,88.18,93.940002,3996100,Accenture
16/03/15,88.32,91.650002,88.139999,91.480003,2667700,Accenture
09/03/15,90.730003,90.959999,86.400002,87.870003,2959200,Accenture
02/03/15,90.029999,92.18,89.730003,90.669998,2869300,Accenture
23/02/15,90.599998,91.440002,89.860001,90.029999,1749300,Accenture
17/02/15,89.629997,90.980003,88.830002,90.489998,2031700,Accenture
09/02/15,87.510002,89.800003,86.68,89.790001,2155900,Accenture
02/02/15,84.419998,89.18,83.470001,88.150002,2764200,Accenture
26/01/15,89.040001,89.199997,83.860001,84.029999,3316600,Accenture
20/01/15,88.889999,89.919998,87.730003,89.220001,2242600,Accenture
12/01/15,89.110001,91.339996,87.550003,88.889999,2656100,Accenture
05/01/15,88.040001,90.150002,86.010002,89.779999,2787000,Accenture
29/12/14,90.900002,91.050003,88.43,88.839996,1872900,Accenture
22/12/14,90.080002,91.940002,89.769997,91.260002,1810900,Accenture
15/12/14,82.129997,91.360001,81.660004,90.510002,5604200,Accenture
08/12/14,86.160004,86.160004,81.860001,81.900002,2190700,Accenture
01/12/14,85.879997,87.080002,85.25,86.190002,2186100,Accenture
24/11/14,83.989998,86.489998,83.989998,86.330002,2283400,Accenture
17/11/14,84.43,84.790001,83.160004,84.080002,2099700,Accenture
10/11/14,83.160004,84.779999,83.160004,84.639999,2227700,Accenture
03/11/14,81.029999,83.75,80.669998,83.480003,2598300,Accenture
27/10/14,78.029999,81.419998,77.940002,81.120003,2829300,Accenture
20/10/14,75.68,79.07,75.330002,78.349998,2310500,Accenture
13/10/14,76.839996,77.32,73.980003,76.620003,4468900,Accenture
06/10/14,80.400002,80.940002,76.800003,76.839996,3540800,Accenture
29/09/14,78.260002,81.769997,78.080002,80.32,3567200,Accenture
22/09/14,79.919998,80.43,77.559998,79.290001,4669300,Accenture
15/09/14,80.989998,81.150002,79.18,79.93,3331300,Accenture
08/09/14,81.75,82.050003,80.580002,80.970001,2126900,Accenture
02/09/14,80.949997,82.160004,80.910004,81.830002,2213200,Accenture
25/08/14,81.040001,81.989998,80.330002,81.059998,1831300,Accenture
18/08/14,79.410004,81.029999,79.330002,80.510002,1593700,Accenture
11/08/14,78.959999,79.93,78.330002,79.010002,2262800,Accenture
04/08/14,78.970001,79.489998,76.870003,78.870003,2415700,Accenture
28/07/14,80.18,80.959999,78.349998,78.699997,2217400,Accenture
21/07/14,79.849998,80.900002,79.389999,80.379997,2025600,Accenture
14/07/14,80.160004,80.32,78.849998,79.739998,2828100,Accenture
07/07/14,81.120003,81.480003,79.550003,79.769997,2466900,Accenture
